filename,lbl
ISIC_0069582,2
ISIC_0028439,1
ISIC_0060473,1
ISIC_0029639,1
ISIC_0072723,1
ISIC_0068399,2
ISIC_0062260,0
ISIC_0054582,1
ISIC_0071920,2
ISIC_0056957,0
ISIC_0062193,1
ISIC_0014850_downsampled,1
ISIC_0033005,5
ISIC_0033316,1
ISIC_0025406,1
ISIC_0034142,4
ISIC_0027585,1
ISIC_0010587,0
ISIC_0054326,1
ISIC_0012813_downsampled,4
ISIC_0027329,1
ISIC_0063106,1
ISIC_0061022,2
ISIC_0033383,1
ISIC_0014798_downsampled,1
ISIC_0026538,4
ISIC_0059228,1
ISIC_0027133,1
ISIC_0030449,1
ISIC_0013150_downsampled,4
ISIC_0024417,1
ISIC_0057904,4
ISIC_0065630,1
ISIC_0058453,0
ISIC_0069087,0
ISIC_0069493,2
ISIC_0027282,0
ISIC_0000478,1
ISIC_0066634,4
ISIC_0071670,2
ISIC_0030431,1
ISIC_0026545,0
ISIC_0027652,4
ISIC_0000539,1
ISIC_0028432,1
ISIC_0027356,1
ISIC_0059022,4
ISIC_0009914,1
ISIC_0060672,0
ISIC_0057202,1
ISIC_0031339,0
ISIC_0053681,1
ISIC_0054291,1
ISIC_0062543,1
ISIC_0027044,5
ISIC_0057883,7
ISIC_0013986_downsampled,0
ISIC_0072842,2
ISIC_0070101,2
ISIC_0024472,2
ISIC_0067914,0
ISIC_0027112,1
ISIC_0033156,4
ISIC_0033633,1
ISIC_0065563,1
ISIC_0029244,1
ISIC_0029574,0
ISIC_0054738,1
ISIC_0008785_downsampled,1
ISIC_0058340,1
ISIC_0024333,0
ISIC_0027037,4
ISIC_0065213,0
ISIC_0030531,1
ISIC_0013233_downsampled,1
ISIC_0060753,1
ISIC_0062635,1
ISIC_0065889,0
ISIC_0059255,2
ISIC_0030921,1
ISIC_0012250_downsampled,1
ISIC_0060458,1
ISIC_0031656,1
ISIC_0034244,1
ISIC_0060263,1
ISIC_0061241,1
ISIC_0064237,2
ISIC_0029230,2
ISIC_0057511,2
ISIC_0067759,3
ISIC_0026189,1
ISIC_0031020,1
ISIC_0024347,1
ISIC_0031050,4
ISIC_0066495,2
ISIC_0028403,1
ISIC_0012520_downsampled,1
ISIC_0069524,2
ISIC_0024390,1
ISIC_0061594,1
ISIC_0028268,1
ISIC_0054141,0
ISIC_0034279,1
ISIC_0069057,4
ISIC_0030221,1
ISIC_0031337,1
ISIC_0031233,0
ISIC_0026537,1
ISIC_0028926,5
ISIC_0064308,1
ISIC_0029736,1
ISIC_0055301,1
ISIC_0067681,2
ISIC_0066312,1
ISIC_0013473_downsampled,0
ISIC_0029786,1
ISIC_0063493,0
ISIC_0028443,1
ISIC_0056273,3
ISIC_0061137,1
ISIC_0030906,1
ISIC_0026078,1
ISIC_0014680_downsampled,1
ISIC_0062587,4
ISIC_0061670,0
ISIC_0055881,1
ISIC_0062805,4
ISIC_0065723,0
ISIC_0032736,0
ISIC_0025024,1
ISIC_0055215,4
ISIC_0059358,0
ISIC_0029689,1
ISIC_0032017,0
ISIC_0055870,7
ISIC_0027218,4
ISIC_0059049,4
ISIC_0055541,1
ISIC_0028540,1
ISIC_0054111,7
ISIC_0055745,1
ISIC_0068882,0
ISIC_0027461,1
ISIC_0028170,1
ISIC_0029808,1
ISIC_0013106_downsampled,1
ISIC_0060731,0
ISIC_0033714,1
ISIC_0002107_downsampled,1
ISIC_0027215,1
ISIC_0067418,0
ISIC_0068748,1
ISIC_0029488,1
ISIC_0056934,4
ISIC_0069373,0
ISIC_0029235,4
ISIC_0028916,0
ISIC_0068207,1
ISIC_0071096,1
ISIC_0030884,1
ISIC_0071097,1
ISIC_0032394,1
ISIC_0032461,2
ISIC_0030447,1
ISIC_0059776,2
ISIC_0015948_downsampled,1
ISIC_0029838,1
ISIC_0065771,2
ISIC_0026061,1
ISIC_0073184,1
ISIC_0000420_downsampled,0
ISIC_0010569,1
ISIC_0010479,1
ISIC_0065747,1
ISIC_0024900,0
ISIC_0059983,0
ISIC_0066702,2
ISIC_0026143,1
ISIC_0068280,0
ISIC_0032933,1
